Question,Scenario,Choice_A,Choice_B,Choice_C,Choice_D,Correct_Answer,Explanation,Source,Topic
Should the judge grant a motion to strike the medical examiner’s testimony?,"In a prosecution for aggravated battery, a police officer testified that when he arrested the defendant, he took a knife from the defendant and delivered it to the medical examiner.  The medical examiner testified that the knife blade was consistent with the victim’s wound but admitted on cross-examination that any number of other knives could also have caused the wound.","No, because the probative worth of this evidence is for the jury to assess.","Yes, because in light of the medical examiner’s admission, his testimony has insufficient probative value.","Yes, because the medical examiner could not state the probability that the wound was caused by the defendant’s knife.","Yes, because the probative value is substantially outweighed by the danger of unfair prejudice.",B,,In-Class MBE,
Which of the following standards of admissibility should the court apply to evidence proffered as relevant to prove whether a contract was formed?,"In a civil action for breach of an oral contract, the defendant denied having entered into a contract with the plaintiff, although he admitted that he had discussed doing so.",Whether a reasonable juror would find the evidence determinative of whether the contract was or was not formed.,Whether the evidence has any tendency to make the fact of contract formation more or less probable than without the evidence.,"Whether the evidence is sufficient to prove, absent contrary evidence, that the contract was or was not formed.",Whether the evidence makes it more likely than not that a contract was or was not formed.,B,,In-Class MBE,
Is the plaintiff’s proposed testimony admissible?,"A plaintiff sued for injuries arising from a car accident, claiming a back injury.  At trial, she wishes to testify that before the accident she had never had any problems with her back.","No, because the plaintiff has not been qualified as an expert.","No, because the plaintiff's pain could have been caused by factors arising after the accident, such as an injury at work.","Yes, because it is probative evidence of the plaintiff's injury.","Yes, because the testimony of parties is not subject to the lay opinion rule.",C,,In-Class MBE,
Should the photograph be admitted over the defendant’s objection?,"A plaintiff, who had been injured in an automobile collision, sued for damages.  The defendant denied negligence and denied that the plaintiff’s injuries were severe.

At trial, the plaintiff has offered in evidence a color photograph of himself made from a videotape taken by a television news crew at the scene of the collision.  The plaintiff has demonstrated that the videotape has since been routinely reused by the television station and that the footage of the plaintiff was erased.  The photograph shows the plaintiff moments after the collision, with his bloodied head protruding at a grotesque angle through the broken windshield of his car.","No, because the plaintiff has failed to establish that a duplicate could not be found.","No, because the plaintiff has failed to produce the original videotape or a duplicate.","Yes, because a photograph that establishes a disputed fact cannot be excluded as prejudicial.","Yes, because it tends to prove a controverted fact.",D,,In-Class MBE,
Is the witness’s testimony admissible?,"In a suit based on a will, the distribution of $1 million depends upon whether the wife survived her husband when both died in the crash of a small airplane.  An applicable statute provides that, for purposes of distributing an estate after a common disaster, there is a rebuttable presumption that neither spouse survived the other.

A witness has been called to testify that as she approached the plane she heard what she thought was a woman’s voice saying, “I'm dying,” although by the time the husband and wife were removed from the wreckage they were both dead.","No, because the matter is governed by the presumption that neither spouse survived the other.","No, because the witness's testimony is too speculative to support a finding.","Yes, because it is relevant and not otherwise prohibited.","Yes, because the hearsay rule does not apply to statements by decedents in actions to determine rights under a will.",C,,In-Class MBE,
Should the court admit this evidence?,"A defendant’s house was destroyed by fire, and she was charged with arson.  To prove that the defendant had a motive to burn down her house, the government offered evidence that the defendant had fully insured the house and its contents.","No, because evidence of insurance is not admissible on the issue of whether the insured acted wrongfully.","No, because the probative value of the evidence of insurance on the issue of whether the defendant intentionally burned her house down is substantially outweighed by the dangers of unfair prejudice and confusion of the jury.","Yes, because any conduct of a party to the case is admissible when offered against the party.","Yes, because evidence of insurance on the house has a tendency to show that the defendant had a motive to burn down the house.",D,,In-Class MBE,
Is the banker’s testimony admissible?,"A company sued the defendant, its former vice president, for return of $230,000 that had been embezzled during the previous two years.  Called by the company as an adverse witness, the defendant testified that his annual salary had been $75,000, and he denied the embezzlement.

The company calls a banker as a witness to show that, during the two-year period, the defendant had deposited $250,000 in his bank account.","No, because its prejudicial effect substantially outweighs its probative value.","No, because the deposits could have come from legitimate sources.","Yes, as circumstantial evidence of the defendant's guilt.","Yes, to impeach the defendant.",C,,In-Class MBE,
Is the testimony concerning the wife’s intoxication admissible?,"A man sued an auto manufacturer for his wife’s death, claiming that a defective steering mechanism on the family car caused it to veer off the road and hit a tree when his wife was driving.  The auto manufacturer claims that the steering mechanism was damaged in the collision and offers testimony that the deceased wife was intoxicated at the time of the accident.","No, because it is improper to prove character evidence by specific conduct.","No, because it is substantially more prejudicial than probative.","Yes, as proper evidence of the wife's character.","Yes, to provide an alternate explanation of the accident's cause.",D,,In-Class MBE,
Is the jail employee’s testimony admissible?,"A defendant is on trial for kidnapping.  The victim has testified that one of the kidnappers referred to the other as “Speed.”  The prosecutor calls a jail employee to testify that, while the defendant was in jail awaiting trial, other inmates addressed the defendant as “Speed.”","No, because it is hearsay not within any exception.","No, because it is substantially more prejudicial than probative.","Yes, as circumstantial evidence that the defendant was one of the kidnappers.","Yes, to support the truthfulness of the victim.",C,,In-Class MBE,
What is the strongest basis for an objection to the admission of the photographs?,A woman sued a delivery driver for injuries sustained during a car collision.  The woman called her treating physician to testify as to the nature and extent of her injuries.  The woman now seeks to introduce several color printouts of photographs taken on a smartphone at the accident scene by a witness.  The photographs depict the gruesome nature of the woman's injuries.,The photographs are not relevant in light of the physician's testimony.,The photographs' probative value is substantially outweighed by the danger of unfair prejudice.,The photographs violate the best evidence rule.,The woman did not take the photographs and therefore cannot authenticate them.,B,,In-Class MBE,
